Head,BTHotspot,WIFI5Ghz,HotspotVoice,Cell,IMU,BDR_Single_Chain_0,EDR_Single_Chain_0,BLE_Single_Chain_0,HR_Single_Chain_0,BDR_Single_Chain_1,EDR_Single_Chain_1,BLE_Single_Chain_1,HR_Single_Chain_1,BDR_Dual_Chain_0,EDR_Dual_Chain_0,BLE_Dual_Chain_0,HR_Dual_Chain_0,BDR_Dual_Chain_1,EDR_Dual_Chain_1,BLE_Dual_Chain_1,HR_Dual_Chain_1
off,off,off,off,off,on,66,62,32,42,72,64,34,44,66,62,32,42,72,64,34,44
off,off,off,off,on,on,54,54,32,42,72,64,34,44,54,54,32,42,72,64,34,44
off,off,off,on,off,on,54,54,32,42,54,54,34,44,54,54,32,42,54,54,34,44
off,off,off,on,on,on,54,54,32,42,54,54,34,44,54,54,32,42,54,54,34,44
off,off,on,off,off,on,54,54,32,42,72,64,34,44,54,54,32,42,72,64,34,44
off,off,on,off,on,on,54,54,32,42,54,54,34,44,54,54,32,42,54,54,34,44
off,off,on,on,off,on,54,54,32,42,54,54,34,44,54,54,32,42,54,54,34,44
off,off,on,on,on,on,54,54,32,42,54,54,34,44,54,54,32,42,54,54,34,44
off,on,off,off,off,on,54,54,32,42,54,54,34,44,54,54,32,42,54,54,34,44
off,on,off,off,on,on,54,54,32,42,54,54,34,44,54,54,32,42,54,54,34,44
off,on,off,on,off,on,54,54,32,42,54,54,34,44,54,54,32,42,54,54,34,44
off,on,off,on,on,on,54,54,32,42,54,54,34,44,54,54,32,42,54,54,34,44
off,on,on,off,off,on,54,54,32,42,54,54,34,44,54,54,32,42,54,54,34,44
off,on,on,off,on,on,54,54,32,42,54,54,34,44,54,54,32,42,54,54,34,44
off,on,on,on,off,on,54,54,32,42,54,54,34,44,54,54,32,42,54,54,34,44
off,on,on,on,on,on,54,54,32,42,54,54,34,44,54,54,32,42,54,54,34,44
on,off,off,off,off,any,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
on,off,off,off,on,any,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
on,off,off,on,off,any,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
on,off,off,on,on,any,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
on,off,on,off,off,any,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
on,off,on,off,on,any,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
on,off,on,on,off,any,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
on,off,on,on,on,any,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
on,on,off,off,off,any,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
on,on,off,off,on,any,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
on,on,off,on,off,any,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
on,on,off,on,on,any,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
on,on,on,off,off,any,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
on,on,on,off,on,any,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
on,on,on,on,off,any,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
on,on,on,on,on,any,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
off,off,any,off,any,off,66,62,32,42,72,64,34,44,66,62,32,42,72,64,34,44
off,on,any,any,any,off,54,54,32,42,54,54,34,44,54,54,32,42,54,54,34,44
off,any,any,on,any,off,54,54,32,42,54,54,34,44,54,54,32,42,54,54,34,44
